Error during initialization.;Fehler bei der Initialisierung
Returns open price level for specified order;Gibt das Eröffnungspreis-Niveau für die angegebene Order zurück
Order Open Price;Order Eröffnungspreis
"OrderOpenPrice(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")";"OrderOpenPrice(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")"
Returns Profit Target level for specified order;Gibt das Profitziel-Niveau für die angegebene Order zurück
Order Profit Target;Order Profitziel
"OrderProfitTarget(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")";"OrderProfitTarget(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")"
Returns Stop Loss level for specified order;Gibt das Stop-Loss-Niveau für die angegebene Order zurück
Order Stop Loss;Order Stop-Loss
"OrderStopLoss(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")";"OrderStopLoss(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"")"
Is triggered when there doesn't exist specified pending order;Wird ausgelöst, wenn die angegebene Pending Order nicht existiert
Pending order doesn't exist;Pending Order existiert nicht
"Pending order(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"") doesn't exist";"Pending Order(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"") existiert nicht"
Is triggered when there exists specified pending order;Wird ausgelöst, wenn die angegebene Pending Order existiert
"Pending order(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"") exists";"Pending Order(#Symbol#, #MagicNumber#, #Direction#, \""#Comment#\"") existiert"
Returns true if there was active trade that was closed recently - which means at the same bar or even the same minute.;Gibt TRUE zurück, wenn ein aktiver Trade kürzlich geschlossen wurde - d.h. in der selben Kerze oder sogar zur selben Minute.
Check if trade closed this bar.;Prüfen, ob der Trade in dieser Kerze geschlossen wurde.
Check if trade closed in the last minute.;Prüfen, ob der Trade in der letzten Minute geschlossen wurde.
TradeRecentlyClosed(#Symbol#, #MagicNumber#);TradeRecentlyClosed(#Symbol#, #MagicNumber#)
Close Condition;Schließbedingung
AHPR;AHPR
Arithmetic Holding Period Return;Arithmetic Holding Period Return
Ambiguous Trades;Mehrdeutige Trades
Ambiguous Trades - trades that start and end at the same bar;Mehrdeutige Trades - Trades, die innerhalb der selben Kerze starten und enden
Ambiguous Trades %;Mehrdeutige Trades %
Ambiguous Trades Percentage - trades that start and end at the same bar;Mehrdeutige Trades in Prozent - Trades, die innerhalb der selben Kerze starten und enden
Annual % Return;Jahresgewinn %
Annual Percentage Return;Jahresgewinn in Prozent
Annual % Return/Max DD %;Jahresgewinn %/Max DD %
Annual Percentage Return vs Drawdown ratio;Jahresgewinn in Prozent / Drawdown-Verhältnis
Avg. Abs Trade;Durchschn. Abs Trade
Average Absolute Trade (including losing trades);Durchschnittliche Gesamttrades (einschließlich Verlusttradess)
Avg. Bars in Trade;Durchschn. Kerzen im Trade
Average Bars In Trade;Durchschnittliche Kerzen in einem Trade
Avg. Bars Loss;Durchschn. Kerzen Verlust
Average Bars In Trade for Loser;Durchschnittliche Kerzen in einem Verlusttrade
Avg. Bars Win;Durchschn. Kerzen Gewinn
Average Bars In Trade for Winner;Durchschnittliche Kerzen in einem Gewinntrade
Avg Consec. Losses;Durchschn. Folgeverluste
Average Consecutive Losses;Durchschnittliche Verluste in Folge
Avg Consec. Wins;Durchschn. Folgegewinne
Average Consecutive Wins;Durchschnittliche Gewinne in Folge
Avg. Loss;Durchschn. Verlust
Average Losing Trade;Durchschnittlicher Verlusttrade
Avg. Profit Per Day;Durchschn. Profit pro Tag
Avg. Profit Per Month;Durchschn. Profit pro Monat
Avg. Profit Per Year;Durchschn. Profit pro Jahr
Avg. Trade;Durchschn. Trade
Average Trade;Durchschnittlicher Trade
Avg. Trades Per Day;Durchschn. Trades pro Tag
Avg. Trades Per Month;Durchschn. Trades pro Monat
Avg. Trades Per Year;Durchschn. Trades pro Jahr
Avg. Win;Durchschn. Gewinn
Average Winning Trade;Durchschnittlicher Gewinntrade
Backtest Duration (s);Backtest-Dauer (s)
Backtest duration in seconds;Backtest-Dauer in Sekunden
CAGR;CAGR
Compound Annual Growth Rate;Akkumulierte jährliche Wachstumsrate
CalmarRatio;CalmarRatio
Commission;Kommission
Degrees of freedom;Freiheitsgrade
Max DD %;Max DD %
Max Drawdown in %;Max. Drawdown in %
Max DD pips;Max. DD Pips
Max Drawdown in pips;Max. Drawdown in Pips
Expectancy;Erwartungswert
Exposure;Enthüllung
Exposure = # bars in all positions / total # bars in the sample;Enthüllung = Kerzen in allen Positionen / Kerzen insgesamt im Sample
Fitness;Eignung
Fitness rank;Eignungs-Rang
Gross profit;Bruttogewinn
Initial deposit;Ursprüngliche Einzahlung
Max Consec. Losses;Max. Folgeverluste
Maximum Consecutive Losses;Maximale Folgeverluste
Max Consec. Wins;Max. Folgegewinne
Maximum Consecutive Wins;Maximale Folgegewinne
Max Profit;Max. Profit
Mini equity chart;Mini Equitäts-Chart
Net profit;Reingewinn
# of canceled;Anz. Abgebrochener
Number of canceled trades;Anzahl abgebrochener Trades
# of losses;Anz. Verluste
Number of losses;Anzahl an Verlusten
# of profits;Anz. Gewinne
Number of profits;Anzahl an Gewinnen
Number of trades;Anzahl an Tardes
Payout ratio;Auszahlungsrate
Profit factor;Profitfaktor
Results Name;Name des Ergebnisses
Ret/DD Ratio;Gew.-/DD-Verhältnis
Return / Drawdown Ratio;Gewinn-/Drawdown-Verhältnis
R Expectancy;G Erwartung
RSquared;RSquared
RSquared - how straight is the equity curve;RSquared - wie gerade ist die Equitätskurve
Sharpe Ratio;Sharpe Ratio
Sharpe Ratio (annualized);Sharpe Ratio (jährlich)
Strategy Quality Number;Strategy Quality Number
SQN Score;SQN Score
Strategy Quality Number Score;Strategy Quality Number Score
Stability;Stabilität
Stability - how straight and steep is the equity curve;Stability - wie gerade und steil ist die Equitätskurve
Stagnation in Days;Stagnation in Tagen
% Stagnation;% Stagnation
Stagnation in % from total days;Stagnation in % von Gesamttagen
Standard Deviation of Trades;Standardabweichung der Trades
Symbol on which the test was made;Symbol, auf welchem der Test ausgeführt wurde
Symmetry;Symmetrie
How symmetrical is profit between Long and Short side?;Wie symmetrisch ist der Profit zwischen Long- und Short-Trades?
TimeFrame;TimeFrame
Timeframe on which the test was made;Timeframe auf welchem der Test ausgeführt wurde
Total Trading Days;Tradingtage insgesamt
Total Trading Months;Tradingmonate insgesamt
Total Trading Years;Tradingjahre insgesamt
Trades Symmetry;Symmetrie der Trades
How symmetrical is number oftrades between Long and Short side?;Wie symmetrisch ist die Anzahl an Long- und Short-Trades?
Winning Percent;Prozent Gewinntrades
Worst Year Profit;Profit schlechtestes Jahr
ZProbability;Z-Wahrscheinlichkeit
ZScore;Z-Score
Balance;Kontostand
BarsInTrade;BarsInTrade
Close price;Schlusspreis
Close time;Schlusszeit
Close type;Schlusstyp
Comment;Kommentar
Comm/Swap;Komm/Swap
MAE ($);MAE ($)
MAE (pips);MAE (Pips)
MFE ($);MFE ($)
MFE (pips);MFE (Pips)
Open price;Eröffnungspreis
Open time;Eröffnungszeit
Orig. Open time;Urspr. Eröffnungszeit
% Drawdown;% Drawdown
Profit/Loss;Profit/Verlust
Profit/Loss Pct;Profit/Verlust Prozent
Profit/Loss Pips;Profit/Verlust Pips
Result name;Name des Ergebnisses
Size;Größe
Ticket;Ticket
Time in trade;Zeit im Trade
Max Drawdown in one run;Max. Drawdown in einem Durchlauf
Max % Drawdown in one run;Max. % Drawdown in einem Durchlauf
Max profit in one run;Max. Profit in einem Durchlauf
Max profit in one run as % of total;Max. Profit in einem Durchlauf in % vom Gesamtprofit
Max Stagnation in %;Max. Stagnation in %
Min trades in one run;Min. Trades in einem Durchlauf
Percentage of profitable runs;Prozentsatz profitabler Durchläufe
Number of closed positions;Anzahl geschlossener Positionen
Number of closed trades;Anzahl geschlossener Trades
Number of open positions;Anzahl offener Positionen
Number of open trades;Anzahl offener Trades
Average strategies per hour;Durchschnittliche Strategien pro Stunde
Strategies;Strategien
Avg. strategies per hour;Durchschn. Strategien pro Stunde
Top Strategy;Spitzenstrategie
Top 3 Strategies Avg;Durchschn. beste 3 Strategien
All Strategies Avg;Durchschn. alle Strategien
Heap memory chart;Heap-Arbeitsspeicher-Chart
Memory;Arbeitsspeicher
Memory Usage;RAM Verwendung
Heap Size;Heap-Größe
Off-heap memory chart;Off-Heap-Arbeitsspeicher-Chart
Off-Heap Size;Off-Heap-Größe
Off-heap memory info;Off-Heap-Arbeitsspeicher Infos
Allocated objects;Zugewiesene Objekte
Allocated memory;Zugewiesener Arbeitsspeicher
Number of bars after which this trade will automatically be closed;Anzahl an Kerzen, nach denen dieser Trade automatisch geschlossen wird
Exit After Bars;Ausstieg nach Kerzen
Move StopLoss to Break Even;Stop-Loss nach Break-Even bewegen
Move SL to BE;SL nach BE bewegen
SL to BE - Add pips;SL nach BE - Pips addieren
Trailing Stop;Trailing-Stop
TS Activation Level;TS Aktivierungslevel
<b>Strategy will risk given amount of money for every trade</b><br/>This is basic money management without compounding. It can be used to test real performance of strategies whose Stop Loss is based on ATR.;<b>Die Strategie riskiert den angegebenen Geldbetrag für jeden Trade</b><br/>Dies ist grundlegendes Money-Management ohne Akkumulierung. Es kann verwendet werden, um die echte Performance von Strategien zu testen, deren Stop Loss auf ATR basiert.
Risk in $;Risiko in $
Order size will be rounded to the selected number of decimal places. Use 2 for microlots, 1 for mini lots and 0 for stocks and futures.;Ordergröße wird auf die ausgewählte Dezimalstellenanzahl gerundet. Verwende 2 für Microlots, 1 für Minilots und 0 für Aktien und Futures.
How many lots should be traded if we disable or cannot use Money Management - for example when computed trade size is 0;Wie vile Lots getradet werden, wenn Money Management deaktiviert ist oder nicht verwendet werden kann - z.B. wenn die berechnete Tradegröße 0 ist
The biggest lot size allowed;Die größte erlaubte Lotgröße
Fixed amount;Fester Betrag
Fixed amount: #RiskedMoney# $;Fester Betrag: #RiskedMoney# $
RiskedMoney;RiskedMoney
Size Decimals;Größe Dezimalstellen
Size if no MM;Größe wenn kein MM
Lots;Lots
Maximum lots;Maximale Lots
Fixed amount, #RiskedMoney# $;Fester Betrag, #RiskedMoney# $
<b>No money management</b><br/>Strategy will trade with fixed number of lots.;<b>Kein Money Management</b><br/>Strategie handelt mit fester Lotgröße.
Order size (number of lots for forex);Ordergröße (Anzahl an Lots für Forex)
Fixed size;Feste Größe
Fixed size: #Lots# lots;Feste Größe: #Lots# Lots
Fixed size, #Size# lots;Feste Größe, #Size# Lots
<b>Risk fixed percentage of balance</b>;<b>Festen Prozentsatz des Kontostandes verwenden</b>
How big percentage of your account will be risked in every trade?;Wieviel Prozent deines Kontos sollen bei jedem Trade riskiert werden?
Risk fixed % balance;Festen Prozentsatz vom Kontostand
Risk fixed % balance: #Risk#%;Festen Prozentsatz des Kontostands verwenden: #Risk#%
Risk in %;Risiko in %
Risk #Risk#% of balance;#Risk#% des Kontostandes riskieren
<b>Risk fixed percentage of account size</b><br/>Strategy will risk a given % of equity for every trade.<br/><br/>This is a simple but very effective money management that will allow the strategy to increase the number of lots as your account grows.<br/><br/>It is recommended to risk around 2-5% of the account per trade.;<b>Festen Prozentsatz der Kontogröße riskieren</b><br/>Die Strategie riskiert einen gegebenen Prozentsatz der Equität für jeden Trade.<br/><br/>Dies ist eine einfache, doch sehr effektive Methode, die eine Erhöhung der Lotgröße im Verhältnis des wachsenden Kontos ermöglicht.<br/><br/>Es wird empfohlen, etwa 2-5% des Kontostandes pro Trade zu riskieren.
If order doesn't have SL then this predefined StopLoss will be used to compute the correct trade size according to money management;Wenn die Order keinen SL hat, wird diese vordefinierte Stop-Loss-Größe verwendet, um die korrekte Tradegröße entsprechend des Money Managements zu berechnen
Risk fixed % of account;Festen Prozentsatz des Kontostands verwenden
Risk fixed % of account: #Risk#%, #Lots# lots, #MaxLots# max. lots;Festen Prozentsatz des Kontos riskieren: #Risk#%, #Lots# Lots, #MaxLots# max. Lots
Risk;Risiko
StopLoss in pips;Stop-Loss in Pips
Risk #Risk#% of account;#Risk#% des Kontostandes riskieren
<b>Size computed as Balance / StockSize.</b> Position sizing method specifically for stocks.;<b>Größe berechnet als Kontostand / Aktiengröße.</b> Positionsgrößen-Berechnungsmethode speziell für Aktien.
If set to true, it will use current account balance. Otherwise it will use initial capital.;Falls auf TRUE gesetzt, wird der aktuelle Kontostand verwendet. Andernfalls wird das Startkapital verwendet.
The biggest size allowed;Die maximal erlaubte Größe
Stocks size by price;Aktiengröße nach Preis
Use account balance;Kontostand verwenden
Maximum size;Maximalgröße
Stocks size by price, max #MaxSize# lots;Aktiengröße nach Preis, max. #MaxSize# Lots
Randomize trades order;Reihenfolge der Trades mischen
Randomize trades order, with method #Method#;Tradereihenfolge zufällig mischen, Methode: #Method#
Randomly skip trades;Zufällig Trades überspringen
Randomly skip trades, with probability #Probability# %;Zufällig Trades überspringen, Wahrscheinlichkeit: #Probability# %
Probability;Wahrscheinlichkeit
<b>Note!</b>If you choose this option then robustness tests will be tested with Selected Timeframe precision, while original strategy will be tested with configured precision.<br/>This might cause difference in results between original strategy and simulations because of different precision.<br/>To avoid this, use Selected Timeframe precision in Setings : Data.;<b>Hinweis!</b>Wenn du diese Option auswählst, werden die Robustness-Tests mit Timeframe-Präzision ausgeführt, während die Originalstrategie mit der konfigurierten Präzision getestet wird.<br/>Dies kann durch die unterschiedliche Präzision zu abweichenden Ergebnissen bei der Originalstrategie und den Simulationen führen.<br/>Um dies zu vermeiden, verwende unter Einstellungen : Daten die Präzision 'ausgewählter Timeframe'.
Randomize history data;Historiendaten zufällig mischen
Randomize history data, with probability #Probability# % and max price change #MaxChange# % of ATR;Histriendaten zufällig mischen, Wahrscheinlichkeit: #Probability# %, max. Preisänderung: #MaxChange# % ATR
Max change;Max. Änderung
Randomize min distance;Mindestabstand zufällig ändern
Randomize min distance from price from #Min# to #Max#;Mindestabstand zufällig ändern von #Min# bis #Max#
Randomize slippage;Slippage zufällig ändern
Randomize slippage from #Min# to #Max#;Slippage zufällig ändern von #Min# bis #Max#
Randomize spread;Spread zufällig ändern
Randomize spread from #Min# to #Max#;Spread zufällig ändern von #Min# bis #Max#
Randomize starting bar;Startkerze zufällig ändern
Randomize starting bar, with max change #MaxChange#;Startkerze zufällig ändern, max. Änderung: #MaxChange#
If true, it uses symmetric parameters - the parameters will be shared for long and short side. Otherwise, the parameters for long and short side will be independent.;Wenn TRUE, werden symmetrische Parameter verwendet - die Parameter werden sowohl für Long als auch für short verwendet. Andernfalls sind die Parameter für Long und Short voneinander unabhängig.
Randomize strategy parameters;Strategieparameter zufällig ändern
Randomize strategy parameters, with probability #Probability# % and max change #MaxChange# %;Strategieparameter zufällig ändern, Wahrscheinlichkeit: #Probability# %, max. Änderung: #MaxChange# %
Symmetric parameters;Symmetrische Parameter
Every trade will be allowed.;Jeder Trade ist erlaubt
Allow all trades;Alle Trades erlauben
SQ Default;SQ Voreinstellung
SQ with Portfolio;SQ mit Portfolio
TS Overview;TS Überblick
Long vs Short P/L;Long / Short P/L
Long P/L;Long P/L
Short P/L;Short P/L
Long vs Short trades;Long / Short Trades
Long trades;Long Trades
Short trades;Short Trades
P/L by day;P/L nach Tag
P/L;P/L
P/L by hour;P/L nach Stunde
P/L by month;P/L nach Monat
P/L by trade duration;P/L nach Tradedauer
P/L by weekday;P/L nach Wochentag
P/L by year;P/L nach Jahr
PL by Year;PL nach Jahr
PL in money by Year;PL in Geld nach Jahr
PL in pips by Year;PL in Pips nach Jahr
PL in % by Year;PL in % nach Jahr
Profit;Profit
Loss;Verlust
P/L Growth by duration;P/L Wachstum nach Dauer
P/L Growth / Time;P/L Wachstum / Zeit
Long Profit/Loss;Long Profit/Verlust
Short Profit/Loss;Short Profit/Verlust
Trades by day;Trades nach Tag
Trades;Trades
Trades by duration;Trades nach Dauer
Trades by hour;Trades nach Stunde
Trades by month;Trades nach Monat
Trades by weekday;Trades nach Wochentag
Trades by year;Trades nach Jahr
Wins/Losses by day;Gewinne/Verluste nach Tag
Wins/Losses by hour;Gewinne/Verluste nach Stunde
Wins/Losses by month;Gewinne/Verluste nach Monat
Wins/Losses by weekday;Gewinne/Verluse nach Wochentag
Wins/Losses Profit by day;Gewinne/Verluste Profit nach Tag
Wins/Losses Profit by hour;Gewinne/Verluste Profit nach Stunde
Wins/Losses Profit by month;Gewinne/Verluste Profit nach Monat
